serie;nome;numero
;Vileplume;3/217
151;Bulbasaur;1/165
151;Ivysaur;2/165
151;Venusaur ex;3/165
151;Charmander;4/165
151;Charmeleon;5/165
151;Charizard ex;6/165
151;Squirtle;7/165
151;Wartortle;8/165
151;Blastoise ex;9/165
151;Caterpie;10/165
151;Metapod;11/165
151;Butterfree;12/165
151;Weedle;13/165
151;Kakuna;14/165
151;Beedrill;15/165
151;Pidgey;16/165
151;Pidgeotto;17/165
151;Pidgeot;18/165
151;Rattata;19/165
151;Raticate;20/165
151;Spearow;21/165
151;Fearow;22/165
151;Ekans;23/165
151;Arbok ex;24/165
151;Pikachu;25/165
151;Raichu;26/165
151;Sandshrew;27/165
151;Sandslash;28/165
151;Nidoran?;29/165
151;Nidorina;30/165
151;Nidoqueen;31/165
151;Nidoran;32/165
151;Nidorino;33/165
151;Nidoking;34/165
151;Clefairy;35/165
151;Clefable;36/165
151;Vulpix;37/165
151;Ninetales ex;38/165
151;Jigglypuff;39/165
151;Wigglytuff ex;40/165
151;Zubat;41/165
151;Golbat;42/165
151;Oddish;43/165
151;Gloom;44/165
151;Vileplume;45/165
151;Paras;46/165
151;Parasect;47/165
151;Venonat;48/165
151;Venomoth;49/165
151;Diglett;50/165
151;Dugtrio;51/165
151;Meowth;52/165
151;Persian;53/165
151;Psyduck;54/165
151;Golduck;55/165
151;Mankey;56/165
151;Primeape;57/165
151;Growlithe;58/165
151;Arcanine;59/165
151;Poliwag;60/165
151;Poliwhirl;61/165
151;Poliwrath;62/165
151;Abra;63/165
151;Kadabra;64/165
151;Alakazam ex;65/165
151;Machop;66/165
151;Machoke;67/165
151;Machamp;68/165
151;Bellsprout;69/165
151;Weepinbell;70/165
151;Victreebel;71/165
151;Tentacool;72/165
151;Tentacruel;73/165
151;Geodude;74/165
151;Graveler;75/165
151;Golem ex;76/165
151;Ponyta;77/165
151;Rapidash;78/165
151;Slowpoke;79/165
151;Slowbro;80/165
151;Magnemite;81/165
151;Magneton;82/165
151;Farfetch'd;83/165
151;Doduo;84/165
151;Dodrio;85/165
151;Seel;86/165
151;Dewgong;87/165
151;Grimer;88/165
151;Muk;89/165
151;Shellder;90/165
151;Cloyster;91/165
151;Gastly;92/165
151;Haunter;93/165
151;Gengar;94/165
151;Onix;95/165
151;Drowzee;96/165
151;Hypno;97/165
151;Krabby;98/165
151;Kingler;99/165
151;Voltorb;100/165
151;Electrode;101/165
151;Exeggcute;102/165
151;Exeggutor;103/165
151;Cubone;104/165
151;Marowak;105/165
151;Hitmonlee;106/165
151;Hitmonchan;107/165
151;Lickitung;108/165
151;Koffing;109/165
151;Weezing;110/165
151;Rhyhorn;111/165
151;Rhydon;112/165
151;Chansey;113/165
151;Tangela;114/165
151;Kangaskhan ex;115/165
151;Horsea;116/165
151;Seadra;117/165
151;Goldeen;118/165
151;Seaking;119/165
151;Staryu;120/165
151;Starmie;121/165
151;Mr. Mime;122/165
151;Scyther;123/165
151;Jynx ex;124/165
151;Electabuzz;125/165
151;Magmar;126/165
151;Pinsir;127/165
151;Tauros;128/165
151;Magikarp;129/165
151;Gyarados;130/165
151;Lapras;131/165
151;Ditto;132/165
151;Eevee;133/165
151;Vaporeon;134/165
151;Jolteon;135/165
151;Flareon;136/165
151;Porygon;137/165
151;Omanyte;138/165
151;Omastar;139/165
151;Kabuto;140/165
151;Kabutops;141/165
151;Aerodactyl;142/165
151;Snorlax;143/165
151;Articuno;144/165
151;Zapdos ex;145/165
151;Moltres;146/165
151;Dratini;147/165
151;Dragonair;148/165
151;Dragonite;149/165
151;Mewtwo;150/165
151;Mew ex;151/165
151;Antique Dome Fossil;152/165
151;Antique Helix Fossil;153/165
151;Antique Old Amber;154/165
151;Big Air Balloon;155/165
151;Bill's Transfer;156/165
151;Cycling Road;157/165
151;Daisy's Help;158/165
151;Energy Sticker;159/165
151;Erika's Invitation;160/165
151;Giovanni's Charisma;161/165
151;Grabber;162/165
151;Leftovers;163/165
151;Protective Goggles;164/165
151;Rigid Band;165/165
151;Bulbasaur;166/165
151;Ivysaur;167/165
151;Charmander;168/165
151;Charmeleon;169/165
151;Squirtle;170/165
151;Wartortle;171/165
151;Caterpie;172/165
151;Pikachu;173/165
151;Nidoking;174/165
151;Psyduck;175/165
151;Poliwhirl;176/165
151;Machoke;177/165
151;Tangela;178/165
151;Mr. Mime;179/165
151;Omanyte;180/165
151;Dragonair;181/165
151;Venusaur ex;182/165
151;Charizard ex;183/165
151;Blastoise ex;184/165
151;Arbok ex;185/165
151;Ninetales ex;186/165
151;Wigglytuff ex;187/165
151;Alakazam ex;188/165
151;Golem ex;189/165
151;Kangaskhan ex;190/165
151;Jynx ex;191/165
151;Zapdos ex;192/165
151;Mew ex;193/165
151;Bill's Transfer;194/165
151;Daisy's Help;195/165
151;Erika's Invitation;196/165
151;Giovanni's Charisma;197/165
151;Venusaur ex;198/165
151;Charizard ex;199/165
151;Blastoise ex;200/165
151;Alakazam ex;201/165
151;Zapdos ex;202/165
151;Erika's Invitation;203/165
151;Giovanni's Charisma;204/165
151;Mew ex;205/165
151;Switch;206/165
151;Basic Psychic Energy;207/165
Alba Suprema;Articuno;1/100
Alba Suprema;Cresselia;2/100
Alba Suprema;Darkrai;3/100
Alba Suprema;Dialga;4/100
Alba Suprema;Glaceon;5/100
Alba Suprema;Kabutops;6/100
Alba Suprema;Leafeon;7/100
Alba Suprema;Manaphy;8/100
Alba Suprema;Mewtwo;9/100
Alba Suprema;Moltres;10/100
Alba Suprema;Palkia;11/100
Alba Suprema;Phione;12/100
Alba Suprema;Rotom;13/100
Alba Suprema;Zapdos;14/100
Alba Suprema;Aerodactyl;15/100
Alba Suprema;Bronzong;16/100
Alba Suprema;Empoleon;17/100
Alba Suprema;Espeon;18/100
Alba Suprema;Flareon;19/100
Alba Suprema;Glaceon;20/100
Alba Suprema;Hippowdon;21/100
Alba Suprema;Infernape;22/100
