nazionalità;espansione
ITA;SET BASE
ITA;151
ITA;alba suprema
ITA;antiche origini
ITA;apocalisse di luce
ITA;aquapolis
ITA;arceus
ITA;ascesa dei rivali
ITA;ascesa eroica
ITA;astri lucenti
ITA;avventure insieme
ITA;battaglie trionfali
ITA;colpi furiosi
ITA;colpo fusione
ITA;confini varcati
ITA;corona astrale
ITA;crepuscolo mascherato
ITA;cronoforze
ITA;destini futuri
ITA;destini incrociati
ITA;destino di paldea
ITA;diamante e perla
ITA;eclissi cosmica
ITA;equilibrio perfetto
ITA;esploratori delle tenebre
ITA;esplosione plasma
ITA;evoluzioni
ITA;evoluzioni a paldea
ITA;evoluzioni eteree
ITA;evoluzioni prismatiche
ITA;ex deoxys
ITA;ex drago
ITA;ex fantasmi di holon
ITA;ex forze segrete
ITA;ex guardiani dei cristalli
ITA;ex isola dei draghi
ITA;ex la leggenda di mew
ITA;ex leggende nascoste
ITA;ex rossofuoco e verdefoglia
ITA;ex rubino e zaffiro
ITA;ex smeraldo
ITA;ex specie delta
ITA;ex team magma vs team idro
ITA;ex tempesta di sabbia
ITA;expedition set base
ITA;fiamme oscure
ITA;fiamme spettrali
ITA;forze scatenate
ITA;forze spettrali
ITA;fossil
ITA;fragore ribelle
ITA;fronte di tempesta
ITA;fuoco bianco
ITA;fuoco infernale
ITA;furie volanti
ITA;gioco di squadra
ITA;glaciazione plasma
ITA;guardiani nascenti
ITA;heartgold e soulsilver
ITA;il risveglio dei miti
ITA;incontri leggendari
ITA;invasione scarlatta
ITA;jungle
ITA;legami inossidabili
ITA;luce nera
ITA;lucentezza siderale
ITA;megaevoluzione
ITA;neo destiny
ITA;neo discovery
ITA;neo genesis
ITA;neo revelation
ITA;nero e bianco
ITA;nuove forze
ITA;ombre infuocate
ITA;origine perduta
ITA;ossidiana infuocata
ITA;paradosso temporale
ITA;platino
ITA;prodigi segreti
ITA;regno glaciale
ITA;richiamo delle leggende
ITA;rivali predestinati
ITA;scarlatto e violetto
ITA;scintille folgoranti
ITA;scontro primordiale
ITA;segreto fiabesco
ITA;senza paura
ITA;set base
ITA;sintonia mentale
ITA;skyridge
ITA;sole e luna
ITA;spada e scudo
ITA;stili di lotta
ITA;stirpe dei draghi
ITA;team rocket
ITA;tempesta argentata
ITA;tempesta astrale
ITA;tesori misteriosi
ITA;tuoni perduti
ITA;turboblitz
ITA;turbocrash
ITA;ultraprisma
ITA;uragano plasma
ITA;vapori accesi
ITA;vittorie regali
ITA;voltaggio sfolgorante
ITA;xy
JP;Scarlet & Violet Era Crimson haze
JP;Scarlet & Violet Era Shiny Treasure
JP;Scarlet & Violet Stella Miracle
JP;set base Kakuchō Pack
JP;Sword & Shield Shiny Star V

